Hu4Yvq-g7_Y,"['https://i.ytimg.com/vi/Hu4Yvq-g7_Y/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCEAaHJtV9Ewz2kNMUtZ9ohYoxh4w', 'https://i.ytimg.com/vi/Hu4Yvq-g7_Y/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDx_1cBlcGRwakyq85moBYeWnLxZA']",How to Get Your Brain to Focus | Chris Bailey | TEDxManchester,,TEDx Talks,15:57,11 912 425 просмотров,2 года назад,/watch?v=Hu4Yvq-g7_Y,281 012
OdRHCc_qE2A,"['https://i.ytimg.com/vi/OdRHCc_qE2A/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCPLVy2fEEX0aAFnvIOm-4iy16oww', 'https://i.ytimg.com/vi/OdRHCc_qE2A/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAdIf3tDnQoArrXwWFP0sr28B4KuA']",Русский язык глазами иностранца | TED talks | Озвучил Влад Ворчун,,Судья из Провиденса,15:43,1 174 447 просмотров,1 год назад,/watch?v=OdRHCc_qE2A,41 855
DTcJmIbn5nw,"['https://i.ytimg.com/vi/DTcJmIbn5nw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBlZA6umXbDh-umDUVVZUXcMOKuoA', 'https://i.ytimg.com/vi/DTcJmIbn5nw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDxVQEw1irzyucyKu4_jvWLhOnNnw']","""Everything happens for a reason"" -- and other lies I've loved | Kate Bowler",,TED,14:50,3 834 052 просмотра,2 года назад,/watch?v=DTcJmIbn5nw,97 912
8jPQjjsBbIc,"['https://i.ytimg.com/vi/8jPQjjsBbIc/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDbxHWUJT6Y-u2ijwmJddwlkTZzZg', 'https://i.ytimg.com/vi/8jPQjjsBbIc/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCq2PgKx2P-hZ1cVrkgYG6Iy7EVDw']",How to stay calm when you know you'll be stressed | Daniel Levitin,,TED,12:21,12 727 559 просмотров,6 лет назад,/watch?v=8jPQjjsBbIc,146 481
sRoqDVgFgSw,"['https://i.ytimg.com/vi/sRoqDVgFgSw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLB1pMQ1t1b5aL2gVrFwVwmOxPJFmw', 'https://i.ytimg.com/vi/sRoqDVgFgSw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCtdeI4v274Myb-dAkvFCTFV-wd2Q']",James Rhee: The value of kindness at work | TED,,TED,15:41,40 432 просмотра,4 дня назад,/watch?v=sRoqDVgFgSw,1 217
